businessunitid      ,subscriberid        ,subscriberkey                                                                                                                                                                                                                                                 ,unsubdateutc           ,unsubreason                                                                                         
--------------------,--------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,----------------------------------------------------------------------------------------------------
           555555555,             1575483,1575483@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:22:00.000,Unsubscribed via Import                                                                             
           555555555,             1575507,1575507@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:00:00.000,Unsubscribed via Import                                                                             
           555555555,             1575517,1575517@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:08:00.000,Unsubscribed via Import                                                                             
           555555555,             1575520,1575520@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:44:00.000,Unsubscribed via Import                                                                             
           555555555,             1575602,1575602@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:04:00.000,Unsubscribed via Import                                                                             
           555555555,             1575654,1575654@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:11:00.000,Unsubscribed via Import                                                                             
           555555555,             1575665,1575665@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:06:00.000,Unsubscribed via Import                                                                             
           555555555,             1575666,1575666@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:16:00.000,Unsubscribed via Import                                                                             
           555555555,             1575674,1575674@gmail.com                                                                                                                                                                                                                                             ,2022-11-28 15:03:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1575707,1575707@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:46:00.000,Unsubscribed via Import                                                                             
           555555555,             1575714,1575714@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:10:00.000,Unsubscribed via Import                                                                             
           555555555,             1575718,1575718@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:41:00.000,Unsubscribed via Import                                                                             
           555555555,             1575766,1575766@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:13:00.000,Unsubscribed via Import                                                                             
           555555555,             1575767,1575767@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:19:00.000,Unsubscribed via Import                                                                             
           555555555,             1575777,1575777@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:50:00.000,Unsubscribed via Import                                                                             
           555555555,             1575781,1575781@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1575790,1575790@comcast.net                                                                                                                                                                                                                                           ,2022-09-27 23:46:00.000,Unsubscribed via Import                                                                             
           555555555,             1575791,1575791@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:09:00.000,Unsubscribed via Import                                                                             
           555555555,             1575794,1575794@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:00:00.000,Unsubscribed via Import                                                                             
           555555555,             1575805,1575805@hotmail.com                                                                                                                                                                                                                                           ,2022-09-28 00:02:00.000,Unsubscribed via Import                                                                             
           555555555,             1575825,1575825@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1575829,1575829@hotmail.com                                                                                                                                                                                                                                           ,2022-09-28 00:13:00.000,Unsubscribed via Import                                                                             
           555555555,             1575904,1575904@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:03:00.000,Unsubscribed via Import                                                                             
