accountid  ,oybaccountid,jobid               ,listid     ,batchid             ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,eventdate              ,isunique,domain                                                                                                                          
-----------,------------,--------------------,-----------,--------------------,------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------,--------------------------------------------------------------------------------------------------------------------------------
  555555555,   555555556,               20913,        340,               21063,    36083282,36083282@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:55:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,                1118,    36083282,36083282@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:54:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,                4074,    36924052,36924052@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:34:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               11103,    39223413,39223413@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:30:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20902,        340,               27033,    40165219,40165219@aol.com                                                                                                                                                                                                                                              ,2022-10-31 12:30:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20924,        340,                9029,    38166024,38166024@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:12:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20902,        340,               18005,    33143692,33143692@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:07:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20927,        340,               23012,    34836308,34836308@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:06:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20922,        340,               15046,    41386324,41386324@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 00:03:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               19631,        340,               28530,    43559743,43559743@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:42:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,                3118,    37040263,37040263@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:24:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,                9215,    38940198,38940198@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:21:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               19648,        340,               26826,    43194181,43194181@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 11:20:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20817,        340,               11002,     4518651,4518651@yahoo.com                                                                                                                                                                                                                                             ,2022-10-31 11:18:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               22193,    38731650,38731650@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:17:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20904,        340,               16022,    38180061,38180061@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:16:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20912,        340,                1004,     9918771,9918771@YAHOO.COM                                                                                                                                                                                                                                             ,2022-10-31 11:14:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20905,        340,               20004,     9918771,9918771@YAHOO.COM                                                                                                                                                                                                                                             ,2022-10-31 11:13:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20902,        340,               24036,    40766218,40766218@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 11:11:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20903,        340,               10016,    35085119,35085119@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 11:10:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20904,        340,                1043,    36800596,36800596@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:10:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20904,        340,               11006,    33319122,33319122@AOL.COM                                                                                                                                                                                                                                              ,2022-10-31 11:10:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20903,        340,                9023,    37770119,37770119@comcast.net                                                                                                                                                                                                                                          ,2022-10-31 11:04:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,                9070,    35142526,35142526@live.com                                                                                                                                                                                                                                             ,2022-10-31 11:03:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               19644,        340,               30216,    43867891,43867891@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:02:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20907,        340,               29057,    36157488,36157488@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:55:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               13040,    26921962,26921962@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 10:49:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20905,        340,               20012,    34791005,34791005@aol.com                                                                                                                                                                                                                                              ,2022-10-31 10:44:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               12299,    43479832,43479832@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:41:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               19647,        340,               17533,    43044002,43044002@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:41:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20919,        340,               18011,    35321472,35321472@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:40:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               13154,    39040048,39040048@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:39:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20904,        340,               13014,    36431107,36431107@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:36:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20905,        340,                9014,    36569998,36569998@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:33:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,                3156,    38235802,38235802@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:26:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               30150,    37604519,37604519@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:25:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20907,        340,               24043,    35999537,35999537@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:25:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20902,        340,                5053,    42388835,42388835@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:25:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20906,        340,               12059,    35294049,35294049@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:23:00.000,       1,devsutd.com                                                                                                                     
  555555555,   555555556,               20902,        340,               29098,    43619172,43619172@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:11:00.000,       1,devsutd.com                                                                                                                     
