accountid  ,oybaccountid,jobid      ,listid     ,batchid    ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,transactiontime        ,domain                                                                                                                          ,isunique,triggerersenddefinitionobjectid                                                                                                                                                                                                                                ,triggeredsendcustomerkey            
-----------,------------,-----------,-----------,-----------,------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------,--------,---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,------------------------------------
  555555555,   555555556,      20913,        340,      21063,    36083282,36083282@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:55:00.000,devsutd.com                                                                                                                     ,       1,36083282                                                                                                                                                                                                                                                       ,B1AF1C7C-4197-477C-B2A6-CAFF56D40BCB
  555555555,   555555556,      20906,        340,       1118,    36083282,36083282@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:54:00.000,devsutd.com                                                                                                                     ,       1,36083282                                                                                                                                                                                                                                                       ,D9CE0173-88E8-4D12-B668-8A1AF9FD2C4F
  555555555,   555555556,      20906,        340,       4074,    36924052,36924052@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:34:00.000,devsutd.com                                                                                                                     ,       1,36924052                                                                                                                                                                                                                                                       ,2B255822-90BF-4457-BCDA-37898DBBDA06
  555555555,   555555556,      20906,        340,      11103,    39223413,39223413@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:30:00.000,devsutd.com                                                                                                                     ,       1,39223413                                                                                                                                                                                                                                                       ,A563A113-31A5-447F-8D8A-44EF67F45CB6
  555555555,   555555556,      20902,        340,      27033,    40165219,40165219@aol.com                                                                                                                                                                                                                                              ,2022-10-31 12:30:00.000,devsutd.com                                                                                                                     ,       1,40165219                                                                                                                                                                                                                                                       ,3606CCEE-B720-4DE3-8AB0-458D0140B159
  555555555,   555555556,      20924,        340,       9029,    38166024,38166024@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:12:00.000,devsutd.com                                                                                                                     ,       1,38166024                                                                                                                                                                                                                                                       ,E0F197C1-6CE8-4353-998E-24A88382117F
  555555555,   555555556,      20902,        340,      18005,    33143692,33143692@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:07:00.000,devsutd.com                                                                                                                     ,       1,33143692                                                                                                                                                                                                                                                       ,765D136A-8E3A-459D-9BF9-0123A03AF79C
  555555555,   555555556,      20927,        340,      23012,    34836308,34836308@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:06:00.000,devsutd.com                                                                                                                     ,       1,34836308                                                                                                                                                                                                                                                       ,22B40A05-B4F5-4019-9130-567D026162A8
  555555555,   555555556,      20922,        340,      15046,    41386324,41386324@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 00:03:00.000,devsutd.com                                                                                                                     ,       1,41386324                                                                                                                                                                                                                                                       ,F84E3FDC-6211-489F-9B4A-9F13CDAA751C
  555555555,   555555556,      19631,        340,      28530,    43559743,43559743@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:42:00.000,devsutd.com                                                                                                                     ,       1,43559743                                                                                                                                                                                                                                                       ,8ED55C71-98E6-469A-8928-8F77987A82D1
  555555555,   555555556,      20906,        340,       3118,    37040263,37040263@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:24:00.000,devsutd.com                                                                                                                     ,       1,37040263                                                                                                                                                                                                                                                       ,C146F97E-18E4-46AE-B895-2D409382E564
  555555555,   555555556,      20906,        340,       9215,    38940198,38940198@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:21:00.000,devsutd.com                                                                                                                     ,       1,38940198                                                                                                                                                                                                                                                       ,A86ED70D-6869-4190-BF3D-317BD7421999
  555555555,   555555556,      19648,        340,      26826,    43194181,43194181@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 11:20:00.000,devsutd.com                                                                                                                     ,       1,43194181                                                                                                                                                                                                                                                       ,F0619E2E-04B2-450F-823F-0D4C9B0DB308
