addedby    ,addmethod        ,createddate            ,dateunsubscribed       ,emailaddress                                                                                                                                                                                                                                                  ,listid     ,listname                                          ,listtype        ,status      ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,subscribertype                                                                                      
-----------,-----------------,-----------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------,--------------------------------------------------,----------------,------------,------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,----------------------------------------------------------------------------------------------------
       1000,Import           ,                   NULL,                   NULL,NULL                                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,        NULL,NULL                                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-09-28 20:19:00.000,                   NULL,24346760@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    24346760,24346760@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:51:00.000,                   NULL,34695167@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34695167,34695167@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:51:00.000,                   NULL,36533408@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    36533408,36533408@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:51:00.000,                   NULL,38337431@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38337431,38337431@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:52:00.000,                   NULL,32859574@YAHOO.COM                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    32859574,32859574@YAHOO.COM                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:52:00.000,                   NULL,34431445@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34431445,34431445@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:52:00.000,                   NULL,35960953@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35960953,35960953@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:52:00.000,                   NULL,38169027@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    38169027,38169027@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:52:00.000,                   NULL,9896439@yahoo.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     9896439,9896439@yahoo.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,34420065@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34420065,34420065@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,37271049@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37271049,37271049@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,37824740@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37824740,37824740@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,38343528@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38343528,38343528@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,43720497@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    43720497,43720497@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,43745448@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    43745448,43745448@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:53:00.000,                   NULL,4573682@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     4573682,4573682@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:54:00.000,                   NULL,34531765@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    34531765,34531765@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:54:00.000,                   NULL,35540161@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35540161,35540161@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:54:00.000,                   NULL,36008791@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36008791,36008791@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:54:00.000,                   NULL,42968091@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42968091,42968091@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:54:00.000,                   NULL,43591222@comcast.net                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    43591222,43591222@comcast.net                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:55:00.000,                   NULL,31819337@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    31819337,31819337@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:55:00.000,                   NULL,37676704@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37676704,37676704@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:55:00.000,                   NULL,38197486@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38197486,38197486@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
