contactid           ,contactkey                                                                                                                                            ,addressid                                                                                                                                             ,createddate            
--------------------,------------------------------------------------------------------------------------------------------------------------------------------------------,------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------
                NULL,NULL                                                                                                                                                  ,59CE9055-BCBA-4A29-A7EC-45BFBD2675B6                                                                                                                  ,                   NULL
            24346760,24346760@gmail.com                                                                                                                                    ,7AF850F5-5ABD-4339-A15C-D86790549E06                                                                                                                  ,2022-09-28 20:19:00.000
            36937586,36937586@yahoo.com                                                                                                                                    ,9E3C3973-E6C3-4568-8087-088451C50EB8                                                                                                                  ,2022-10-31 12:59:00.000
            42357134,42357134@gmail.com                                                                                                                                    ,8010D16F-F865-4CEF-84AE-C87578C108B7                                                                                                                  ,2022-10-31 12:59:00.000
            43444340,43444340@hotmail.com                                                                                                                                  ,3DCFA15F-EDB2-4D0E-9843-BBDE4ED0DE2F                                                                                                                  ,2022-10-31 12:59:00.000
            29789283,29789283@gmail.com                                                                                                                                    ,97B61F80-523D-47B5-94CA-911044921569                                                                                                                  ,2022-10-31 12:59:00.000
             9064529,9064529@gmail.com                                                                                                                                     ,1812E574-49FD-4EC1-8DBC-7116E7328ACE                                                                                                                  ,2022-10-31 12:59:00.000
            43440570,43440570@gmail.com                                                                                                                                    ,145B137B-3695-4EE7-8664-0FA65AA8803B                                                                                                                  ,2022-10-31 12:59:00.000
            43491814,43491814@gmail.com                                                                                                                                    ,F7385AFF-3E53-488E-A390-77440D30663A                                                                                                                  ,2022-10-31 12:59:00.000
            36918555,36918555@gmail.com                                                                                                                                    ,69B2A166-F9BC-4449-B574-F642A66D5ADF                                                                                                                  ,2022-10-31 12:59:00.000
            31639526,31639526@gmail.com                                                                                                                                    ,CD6CE824-B955-408A-9032-D2CE6D00AE83                                                                                                                  ,2022-10-31 12:59:00.000
            43174424,43174424@gmail.com                                                                                                                                    ,E46DB865-A02F-46EE-8F76-CCC73EB1C18C                                                                                                                  ,2022-10-31 12:59:00.000
            43874903,43874903@gmail.com                                                                                                                                    ,4BA1CB47-6B68-4D5D-BE70-083FAEA7DB04                                                                                                                  ,2022-10-31 12:59:00.000
            34194349,34194349@gmail.com                                                                                                                                    ,4F3AB3B7-3B24-43C7-9E81-55C9165CD19E                                                                                                                  ,2022-10-31 12:59:00.000
            40083565,40083565@gmail.com                                                                                                                                    ,A9D30810-D7F0-4390-B037-1DC1A4819099                                                                                                                  ,2022-10-31 12:59:00.000
            35402912,35402912@aol.com                                                                                                                                      ,2283D3E0-B383-4FC8-82F7-75C438D390AF                                                                                                                  ,2022-10-31 12:59:00.000
            43770475,43770475@gmail.com                                                                                                                                    ,C124CA6F-D95F-4F04-A7E8-0F12CC93BB49                                                                                                                  ,2022-10-31 12:59:00.000
            13184811,13184811@gmail.com                                                                                                                                    ,4565C7F1-70CB-4CD3-B4D5-1DFDE6454BE6                                                                                                                  ,2022-10-31 12:59:00.000
            34753217,34753217@yahoo.com                                                                                                                                    ,91FC6B78-6053-4944-A770-87AAA831A36D                                                                                                                  ,2022-10-31 12:59:00.000
             7743492,7743492@yahoo.com                                                                                                                                     ,74020659-1819-49EB-B33D-1E54B2141CC2                                                                                                                  ,2022-10-31 12:59:00.000
            43615170,43615170@icloud.com                                                                                                                                   ,70A7F492-D5BF-4240-8F77-80746B4939BA                                                                                                                  ,2022-10-31 12:59:00.000
            42009582,42009582@gmail.com                                                                                                                                    ,ACFA0066-D91D-4307-A61E-0D1EB4B5747C                                                                                                                  ,2022-10-31 12:59:00.000
            35059359,35059359@yahoo.com                                                                                                                                    ,CCB7EABF-4296-4D31-BA17-E4E208443ACB                                                                                                                  ,2022-10-31 12:59:00.000
            36237477,36237477@gmail.com                                                                                                                                    ,1FE89EA3-1FDE-4B1B-BB59-A904C3A0DBF6                                                                                                                  ,2022-10-31 12:59:00.000
            35137622,35137622@gmail.com                                                                                                                                    ,0C7E70B2-E21F-44F0-9527-07BF61C90444                                                                                                                  ,2022-10-31 12:59:00.000
            34649309,34649309@gmail.com                                                                                                                                    ,130F9772-A25F-48E8-A626-842A3369E7C6                                                                                                                  ,2022-10-31 12:59:00.000
            36938049,36938049@yahoo.com                                                                                                                                    ,D36951FC-C617-4E47-82DD-AB1C4ED57DBA                                                                                                                  ,2022-10-31 12:59:00.000
            39241946,39241946@yahoo.com                                                                                                                                    ,E780D239-A705-4F05-A3AC-2521C6597364                                                                                                                  ,2022-10-31 12:59:00.000
            38157488,38157488@gmail.com                                                                                                                                    ,0F3BA098-04A1-4C65-BC08-6648FF0D79F5                                                                                                                  ,2022-10-31 12:59:00.000
            39259227,39259227@gmail.com                                                                                                                                    ,7F3D78DE-64A1-473C-9393-81C38469CFE3                                                                                                                  ,2022-10-31 12:59:00.000
            35433530,35433530@hotmail.com                                                                                                                                  ,08685A08-7DA9-492F-8769-5BA96C0769F5                                                                                                                  ,2022-10-31 00:59:00.000
            35393622,35393622@gmail.com                                                                                                                                    ,14C14676-412A-4265-B2A5-A2099A6DAB8B                                                                                                                  ,2022-10-31 00:59:00.000
            43779623,43779623@gmail.com                                                                                                                                    ,99D71576-FB53-4211-A3BD-B94BC74F0917                                                                                                                  ,2022-10-31 00:59:00.000
            36375625,36375625@gmail.com                                                                                                                                    ,421D361F-8AA7-487A-B607-ABC8860E6C58                                                                                                                  ,2022-10-31 00:59:00.000
            27532330,27532330@yahoo.com                                                                                                                                    ,D564FD5A-AE3E-448B-BAA0-839B1FBDA17C                                                                                                                  ,2022-10-31 12:58:00.000
            21627426,21627426@gmail.com                                                                                                                                    ,1A5856C0-B6C5-4E34-A43F-AA912F235ABA                                                                                                                  ,2022-10-31 12:58:00.000
            35830212,35830212@aol.com                                                                                                                                      ,C2DA85BA-9508-481D-828E-1DB1FF1F0651                                                                                                                  ,2022-10-31 12:58:00.000
            37437033,37437033@hotmail.com                                                                                                                                  ,4B7E7770-B232-405C-9FC9-2A32573338E8                                                                                                                  ,2022-10-31 12:58:00.000
            43607112,43607112@gmail.com                                                                                                                                    ,756ACF0C-8D3B-4970-8C8A-1A3939388EC0                                                                                                                  ,2022-10-31 12:58:00.000
            42953867,42953867@yahoo.com                                                                                                                                    ,33AE6F10-9F96-4E7E-915B-D3041D536CDB                                                                                                                  ,2022-10-31 12:58:00.000
            35179070,35179070@hotmail.com                                                                                                                                  ,70DC5189-7146-4C84-88F5-D2F019C02FA1                                                                                                                  ,2022-10-31 12:58:00.000
            43758616,43758616@gmail.com                                                                                                                                    ,4DB585B9-FEF9-4EB5-A8D7-A1F93C48CEA0                                                                                                                  ,2022-10-31 12:58:00.000
            36629984,36629984@hotmail.com                                                                                                                                  ,3E3743AB-6418-42BF-9F01-DC1C6BC07CB7                                                                                                                  ,2022-10-31 12:58:00.000
            19363142,19363142@gmail.com                                                                                                                                    ,B3E8EADE-C834-4D25-A9AB-7716659232C9                                                                                                                  ,2022-10-31 12:58:00.000
            32526661,32526661@icloud.com                                                                                                                                   ,45552C51-3B31-4F72-B05D-37FDD4969370                                                                                                                  ,2022-10-31 12:58:00.000
            34651418,34651418@hotmail.com                                                                                                                                  ,1BC21DF1-9675-406D-B5FD-F5B75D82E1E4                                                                                                                  ,2022-10-31 12:58:00.000
