accountid  ,oybaccountid,jobid      ,listid     ,batchid    ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,eventdate              ,domain                                                                                                                          ,isunique,triggerersenddefinitionobjectid     ,triggeredsendcustomerkey            
-----------,------------,-----------,-----------,-----------,------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------------------------------------------------------------------------------------------------------------------------------,--------,------------------------------------,------------------------------------
  555555555,           1,          1,          1,          1,        NULL,NULL                                                                                                                                                                                                                                                          ,                   NULL,NULL                                                                                                                            ,    NULL,NULL                                ,NULL                                
  555555555,   555555555,      17033,        340,          1,    24346760,24346760@gmail.com                                                                                                                                                                                                                                            ,2022-09-28 20:19:00.000,devsutd.com                                                                                                                     ,       1,75965DF9-06F3-EC11-B83A-48DF37E41F4C,2480BABD-77D3-485F-ACA4-A055E5DDC067
  555555555,   555555555,      19268,        340,      28088,    36937586,36937586@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,55E9DC82-3575-4AD2-8234-221241FA2312
  555555555,   555555555,      19659,        340,       8221,    42357134,42357134@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,6438666C-2EF3-EC11-B83A-48DF37E41F4C,EF734E63-5131-42DA-9164-93FC79354E85
  555555555,   555555555,      19701,        340,        353,    43444340,43444340@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,CD06E440-07F3-EC11-B83A-48DF37E41F4C,E6F45580-8CBE-499D-BDC3-50170B8E1CD8
  555555555,   555555555,      19701,        340,        376,    29789283,29789283@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,CD06E440-07F3-EC11-B83A-48DF37E41F4C,B09E8C17-BE4B-41C8-95BF-300096FB5700
  555555555,   555555555,      19702,        340,       1397,     9064529,9064529@gmail.com                                                                                                                                                                                                                                             ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,260A505E-7445-4125-948A-FC1A278E249B
  555555555,   555555555,      19702,        340,       1695,    43440570,43440570@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,6B14D109-31C2-45CC-8F4F-B669463FF9BD
  555555555,   555555555,      19702,        340,       1707,    43491814,43491814@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,1C76609A-155F-46AB-948D-A5C0087FB373
