mobilenumber   ,undeliverable,bouncecount,firstbouncedate        ,holddate               
---------------,-------------,-----------,-----------------------,-----------------------
1-896-812-6678 ,            0,          4,2023-12-06 00:00:00.000,2022-04-07 00:00:00.000
1-868-329-5386 ,            1,          8,2022-12-21 00:00:00.000,2022-06-23 00:00:00.000
1-375-824-8563 ,            1,          8,2023-12-07 00:00:00.000,2024-01-21 00:00:00.000
1-111-164-5142 ,            1,          8,2022-05-12 00:00:00.000,2023-05-06 00:00:00.000
1-675-722-5476 ,            1,          6,2023-03-13 00:00:00.000,2023-07-02 00:00:00.000
1-367-523-3314 ,            0,          4,2023-05-03 00:00:00.000,2022-02-28 00:00:00.000
1-179-123-3647 ,            0,          8,2023-02-11 00:00:00.000,2023-04-29 00:00:00.000
1-665-453-4325 ,            1,         10,2023-07-22 00:00:00.000,2022-05-19 00:00:00.000
1-588-328-3915 ,            1,          3,2023-03-01 00:00:00.000,2023-02-14 00:00:00.000
1-457-882-5315 ,            1,          5,2023-05-07 00:00:00.000,2022-05-27 00:00:00.000
1-758-612-5877 ,            1,          4,2022-07-22 00:00:00.000,2022-10-23 00:00:00.000
1-572-826-7533 ,            0,          8,2022-06-19 00:00:00.000,2023-06-28 00:00:00.000
1-847-530-5318 ,            0,          9,2023-07-01 00:00:00.000,2023-12-09 00:00:00.000
1-767-651-8536 ,            0,          9,2024-02-08 00:00:00.000,2023-04-20 00:00:00.000
1-419-491-7654 ,            1,          3,2022-12-01 00:00:00.000,2023-09-09 00:00:00.000
1-735-309-4409 ,            0,          8,2023-09-28 00:00:00.000,2023-05-05 00:00:00.000
1-274-585-1231 ,            0,          8,2022-10-18 00:00:00.000,2023-11-09 00:00:00.000
1-777-855-1763 ,            1,          7,2022-05-08 00:00:00.000,2022-06-03 00:00:00.000
1-142-701-4386 ,            1,          6,2022-11-02 00:00:00.000,2022-08-14 00:00:00.000
1-233-481-5660 ,            0,          4,2023-01-21 00:00:00.000,2023-02-08 00:00:00.000
1-913-213-7013 ,            1,          7,2022-05-04 00:00:00.000,2023-05-25 00:00:00.000
1-243-514-5524 ,            0,          9,2023-04-26 00:00:00.000,2023-10-09 00:00:00.000
1-611-403-1258 ,            1,          4,2023-02-27 00:00:00.000,2023-12-30 00:00:00.000
1-805-478-2544 ,            1,          7,2023-05-25 00:00:00.000,2022-10-05 00:00:00.000
