accountid  ,oybaccountid,jobid               ,listid     ,batchid             ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,eventdate              ,isunique,domain                                                                                                                          
-----------,------------,--------------------,-----------,--------------------,------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-----------------------,--------,--------------------------------------------------------------------------------------------------------------------------------
   55555555,   555555556,               17033,        340,                   1,    24346760,24346760@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19268,        340,               28088,    36937586,36937586@yahoo.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19615,        340,                5401,    38078363,38078363@hotmail.com                                                                                                                                                                                                                                          ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19659,        340,                8221,    42357134,42357134@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19701,        340,                 353,    43444340,43444340@hotmail.com                                                                                                                                                                                                                                          ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19701,        340,                 376,    29789283,29789283@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1397,     9064529,9064529@gmail.com                                                                                                                                                                                                                                             ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1604,    43233510,43233510@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1695,    43440570,43440570@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1707,    43491814,43491814@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1774,    37173631,37173631@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1779,    36918555,36918555@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19702,        340,                1866,    31639526,31639526@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19703,        340,               16807,    43174424,43174424@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19703,        340,               16807,    43874903,43874903@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19703,        340,               16806,    38071110,38071110@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19703,        340,               16807,     3535218,3535218@gmail.com                                                                                                                                                                                                                                             ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19704,        340,               24952,    34194349,34194349@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
   55555555,   555555556,               19704,        340,               35943,    40083565,40083565@gmail.com                                                                                                                                                                                                                                            ,2023-03-05 06:16:33.437,       1,devsutd.com                                                                                                                     
